en,jp,romaji-jp,fr
Voidera,洞潔,Dōketsu,Douketsu
Shutendoji,酒呑童子,Shutendōji,
Juno,朱夏,Shuka,
Boreas,玄冬,Gentō,Gentou
Eurus,白秋,Hakushu,Hakushu
Saros,空天,Kūten,Kuuten
Lord Ananta,蛇王カイラ,Jaō Kaira,
Enma,エンマ,Enma,Enma
Yami Enma,闇エンマ,Yami Enma,
Yasha Enma,夜叉エンマ,Yasha Enma,
Yamanbaa,ヤマンバア,Yamanbaa,
Kenshin Amaterasu,賢神アマテラス,Kenshin Amaterasu,Kenshin Amaterasu
Suu-san,スーさん,Sū-san,
Zashiki-warishi,座敷童子,Zashiki-warishi,
Gnomey,ざしきわらし,Zashiki-warashi,
Kukuri-hime,ククリ姫,Kukuri-hime,
Gusto,猫又,Nekomata,Abyssinyan
Kawauso,かわうそ,Kawauso,
Tamamo,タマモ,Tamamo,
Gyuuki,牛鬼,Gyuuki,
Narigama,鳴釜,Narigama,
Blobgoblin,ぬっぺふほふ,Nuppefuhofu,Abracadagras
Azukiarai,小豆洗い,Azukiarai,
Kappa,河童,Kappa,Kappa
Shien,紫炎,Shien,
Enma Daiou Gouen,閻魔大王・業炎,Enma Daiō Gōen,
Naviwan,ナビワン,,
Konsaru,魂サル,Konsaru,Konsaru
Yo-kai Drone,どろ～ん,Doro~n,
Kitaro,鬼太郎,Kitarō,Kitaro
Medama-Oyaji,目玉親父,Medama-Oyaji,
Slimamander,ミツマタノヅチ,Mitsumatanotsuchi,
Jinta,ジンタ,Jinta,
Yamanbaa,ヤマンバア,Yamanbaa,
Shinmagunshin Fukurou,真魔軍神フクロウ,Shinmagunshin Fukurō,
Lady Arachnia,女郎蜘蛛,Jorōgumo,Arachnobiolesse
Tamamo,タマモ,Tamamo,
Voidera,洞潔,Dōketsu,
Shien,紫炎,Shien,
Lord Ananta,蛇王カイラ,Jaō Kaira,Baron Ananta
Overseer,空亡,Overseer,
Soranaki,破天・空亡,Soranaki,
Raidenryu,雷電龍,Raidenryū,
Sproink,のぼせトンマン,Nobosetonman,Crocho
Hoggles,おのぼり黒トン,Onobori Kuroton,Porcinator
Lord Ananta,蛇王カイラ,Jaō Kaira,
Lord Acala,不動明王,Fudō Myōō Bōi,Fudou Myouou
Fudou Myouou Ten,不動明王・天,Fudō Myōō Ten,
Acala Exalted,不動明王・界,Fudō Myōō-kai,
Suzaku,剣武魔神・朱雀,Kenbumajin Suzaku,Suzaku
Genbu,剣武魔神・玄武,Kenbumajin Genbu,
Asura,阿修羅,Ashura,
Byakko,剣武魔神・白>虎,Kenbumajin Byakko,Byakko
Goemon,五右衛門,Goemon,
Matsu,お松,Omatsu,
Minamoto,義経,Yoshitsune,
Benkei,弁慶,Benkei,
Kyryn,幻獣・麒麟,Genjū Kirin,
Suzaku,剣武魔神・朱雀,Kenbumajin Suzaku,
Byakko,剣武魔神・白>虎,Kenbumajin Byakko,
Souryuu,蒼龍,Sōryū,
Suu-san,スーさん,Sū-san,
Eyepo,キュッピー,,Bleuzieu
Goldy Bones,ガシャどくろG,,Blingos
Glitzy Bones,ギヤマンどくろ,,Bogos
Slicenrice,おにぎり侍,,Agonigiri
Frostina,ゆきおんな,,Angélik
Arachnus,土蜘蛛,,Arachnus
B3-NK1,からくりベンケイ,,B3-NK1
Baku,バク,,Baku
Glitzy Bones,ギヤマンどくろ,,Bogos
Reuknight,ゲンマ将軍,,Bushidos
Wazzat,わすれん帽,,Chaipô
Hidabat,ヒキコウモリ,,Chauvekipeut
Sergeant Burly,ブリー隊長,,Coach Antonic
Count Zapaway,りもこんかくし,,Comte Zapzap
Hornaplanty,オオツノノ神,,Corniaque
Manjimutt,じんめん犬,,Corniot
Toadal Dude,大ガマ,,Crapop
Deadcool,ワルノリン,,Deadcool
Little Charrmer,サキちゃん,,Diablotine
Spoilerina,ネタバレリーナ,,Déballerine
Demuncher,鬼食い,,Démophage
Lava Lord,さくらのじま,,Etna Magma
Faux Kappa,河童,,Faux Kappa
Blazion,メラメライオン,,Feulion
Silver Lining,スカイシャリマン,,Flèche d'azur
Snartle,なまはげ,,Fouétar
Gargaros,赤鬼,,Gargaros
Hungramps,ひも爺,,Granpapéti
Gutsy Bones,ガシャどくろ,,Grolos
Hovernyan,フユニャン,,Hovernyan
Mimikin,モノマネキン,,Humainequin
Insomni,フゥミン,,Insomnelle
Krystal Fox,コンたん,,Jeniflair
Jibanyan B,Ｂジバニャン,,Jibanyan B
Happierre,ホノボーノ,,Jojojoyeux
Walkappa,ノガッパ,,Kappacap
Komasan B,Ｂコマさん,,Komasan B
Usapyon B,ＢUSAピョン,,Usapyon B
Molar Petite,デバミ,,Taupe Modèle
,ゴメンダコ,,Poulpardon
Daddy-eyeball,目玉おやじ,,Papa Globule
Orcanos,黒鬼,,Orqanos
Ogralus,青鬼,,Ogralos
Snottle,ハナホ人,,Narinos
Nosirs,認MEN,,Non-non
McKraken,イカカモネ議長,,McKraken
